molecule_id,original_smiles,fragment_smiles,dealed_smiles
323,[*]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)C#N)O,*O,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(C#N)CC2)C(C)(C)C)c([OH:1])c1
324,[*]N1CCN(CC1)C2=NC=NC(=C2)C3=NNC4=C3C=C(C=C4)OC5(CC5)C,*N1CCNCC1,CC1(Oc2ccc3[nH]nc(-c4cc(N5CC[NH:1]CC5)ncn4)c3c2)CC1
325,[*]C1=CC=C(C=C1)N2CCC3(CC2)C[C@@H](N(C3)C4=CC(=C(C=C4)C#N)C(F)(F)F)C,*c1ccccc1,C[C@H]1CC2(CCN(c3ccc([Br:1])cc3)CC2)CN1c1ccc(C#N)c(C(F)(F)F)c1
326,[*]C(=O)N1CC[C@H]2CC[C@H](N2C(=O)[C@H](C1)NC(=O)C3=CC4=C(N3)C=CC(=C4)C(F)(F)P(=O)(O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)NC(C5=CC=CC=C5)C6=CC=CC=C6,*C(=O)N1CCCN2CCCC2CC1,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)[OH:1])C[C@H](NC(=O)c3cc4cc(C(F)(F)P(=O)(O)O)ccc4[nH]3)C(=O)N21)C(=O)NC(c1ccccc1)c1ccccc1
327,[*]C(=O)C[C@H]1C2=NN=C(N2C3=C(C(=C(S3)C)C)C(=N1)C4=CC=C(C=C4)N)C,*C(C)=O,Cc1sc2c(c1C)C(c1ccc(N)cc1)=N[C@@H](CC(=O)[OH:1])c1nnc(C)n1-2
328,[*]C(=O)C1=CC2=C(O1)C(=CC(=C2)C3=CN(C(=O)C(=C3)C)C)C,*C,Cc1cc(-c2cc(C)c3oc(C(=O)[Br:1])cc3c2)cn(C)c1=O
329,[*]C1=CC=C(C=C1)N2C=C(C(=N2)CN)NC(=O)C3=COC(=N3)C4=CC(=NC=C4)NCC(F)(F)F,*c1ccccc1,NCc1nn(-c2ccc([Br:1])cc2)cc1NC(=O)c1coc(-c2ccnc(NCC(F)(F)F)c2)n1
330,[*]C(=O)C1=C(C=C(C=C1)NC2=NC=C3CN=C(C4=C(C3=N2)C=CC(=C4)Cl)C5=C(C=CC=C5F)OC)OC,*C,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)[Br:1]
331,[*]C(=O)NCC1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)F)N,*C(N)=O,Nc1cc(F)ccc1NC(=O)c1ccc(C[NH2:1])cc1
332,[*]C(=O)C1=CC=C(C=C1)N2C=C(C(=N2)C(F)F)NC(=O)C3=COC(=N3)C4=CC(=NC=C4)NCC5CC5,*C,O=C([Br:1])c1ccc(-n2cc(NC(=O)c3coc(-c4ccnc(NCC5CC5)c4)n3)c(C(F)F)n2)cc1
333,[*]N1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,*N1CCCCC1,N#Cc1cccc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCC5CC[NH:1]CC5)cn4)c3)n2)c1
334,[*]C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C(=O)NO,*c1ccccc1,O=C(NO)c1cccc(NC(=O)c2ccc([Br:1])cc2)c1
335,[*]C1=CC=C(C=C1)C2=C(SC3=C2C=CC(=C3)O)C4=CC=C(C=C4)O,*c1ccccc1,Oc1ccc(-c2sc3cc(O)ccc3c2-c2ccc([Br:1])cc2)cc1
336,[*]NNC(=O)C1=NC2=CC=CC=C2N(C1=O)C,*N,Cn1c(=O)c(C(=O)N[NH2:1])nc2ccccc21
337,[*]N1CCN(CC1)C2=CC=C(C=C2)C3=CC(=O)C4=C(O3)C(=C(C=C4O)OC)C5=CCN(CC5)C,*N1CCNCC1,COc1cc(O)c2c(=O)cc(-c3ccc(N4CC[NH:1]CC4)cc3)oc2c1C1=CCN(C)CC1
338,[*]C1=CC=C(C=C1)CNC2=C(C=CC(=C2)C(=O)NO)C,*c1ccccc1,Cc1ccc(C(=O)NO)cc1NCc1ccc([Br:1])cc1
339,[*]C1=CC2=C(C(=C(C=C2C=C1)O)N3CC(=O)NS3(=O)=O)F,*c1ccc2ccccc2c1,O=C1CN(c2c(O)cc3ccc([Br:1])cc3c2F)S(=O)(=O)N1
340,[*]C(=O)[C@@H]1C[C@@H](CN1C(=O)C=C)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,*C(C)=O,C=CC(=O)N1C[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C[C@H]1C(=O)[OH:1]
341,[*]OC1=CC=C(C=C1)NC(=O)C[C@H]2C3=NN=C(N3C4=C(C(=C(S4)C)C)C(=N2)C5=CC=C(C=C5)Cl)C,*O,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc([OH:1])cc1)c1nnc(C)n1-2
342,[*]C(=O)C(C)(C)CCC1=NC2=CC(=C(C=C2N1C)NC(=O)C3=NC(=CC=C3)C(F)(F)F)OCC,*C(C)=O,CCOc1cc2nc(CCC(C)(C)C(=O)[OH:1])n(C)c2cc1NC(=O)c1cccc(C(F)(F)F)n1
343,[*]C(=O)CCN(C1=CC=C(C=C1)F)C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)(C)C)NC(=O)C3=CC4=C(S3)C=CC(=C4)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1ccc(F)cc1
344,[*]NC1=CC=C(C=C1)C2=NC3=C(S2)C=C(C=C3)C,*N,Cc1ccc2nc(-c3ccc([NH2:1])cc3)sc2c1
345,[*]OC1=CC2=C(C=C1)NC3=C2CCN4C3N(C5=C(C4=O)C=C(C=C5)F)C,*O,CN1c2ccc(F)cc2C(=O)N2CCc3c([nH]c4ccc([OH:1])cc34)C21
346,[*]C(=O)NC1=CC2=C(C=C1)[C@]3(CC2)CN(C(=O)O3)CC(=O)N(CC4=CC=C(C=C4)F)[C@@H](C)C(F)(F)F,*C(N)=O,C[C@H](N(Cc1ccc(F)cc1)C(=O)CN1C[C@]2(CCc3cc([NH2:1])ccc32)OC1=O)C(F)(F)F
347,[*]C(=O)[C@@]12CC[C@@]3(C(=CCC4[C@]3(CCC5[C@@]4(CC[C@@H](C5(C)C)O)C)C)C1CC(CC2)(C)C)C,*C(=O)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,CC1(C)CC[C@]2(C(=O)[OH:1])CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1
348,[*]C(=O)CN(C)C1=NC(=NC(=N1)N2CCCN(CC2)C(=O)C)NCCC3=CC=CS3,*C(C)=O,CC(=O)N1CCCN(c2nc(NCCc3cccs3)nc(N(C)CC(=O)[OH:1])n2)CC1
349,[*]NC1=C(C=CC(=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)OC,*N,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c([NH2:1])c2)c(OC)c1
350,[*]C1=C(N=C(S1)N/N=C(\C)/C(=O)OCOC(=O)C(C)(C)C)C2=CC(=C(C=C2)Cl)Cl,*c1cncs1,C/C(=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)c([Br:1])s1)C(=O)OCOC(=O)C(C)(C)C
351,[*]N1CCN(CC1)C(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C)OC,*N,COc1cc(C(=O)N2CC[NH:1]CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C
352,[*]N1CCN(CC1)C2=NC=C(C=C2)C3=CC4=C(CN(C4=O)C(C5=CC=CC=C5)C(=O)NC6=NC=CS6)C=C3,*N1CCNCC1,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccc(-c3ccc(N4CC[NH:1]CC4)nc3)cc2C1=O
353,[*]C(=O)CCNC1=C(C(=O)C2=CC=CC3=C(C=CC1=C32)SC4=CC=C(C=C4)Br)C#N,*C(C)=O,N#CC1=C(NCCC(=O)[OH:1])c2ccc(Sc3ccc(Br)cc3)c3cccc(c23)C1=O
354,[*]C1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(=C(S4)C)C)C)CC(=O)NCCS(=O)(=O)O,*c1ccccc1,Cc1sc2c(c1C)C(c1ccc([Br:1])cc1)=N[C@@H](CC(=O)NCCS(=O)(=O)O)c1nnc(C)n1-2
355,[*]NNC(=O)C1=CC=C(C=C1)/N=C\2/C3=CC=CC=C3NC2=O,*N,O=C1Nc2ccccc2/C1=N/c1ccc(C(=O)N[NH2:1])cc1
356,[*]N[C@H](C(=O)N1C/C(=C\C2=CC(=C(C=C2)Cl)Cl)/C(=O)/C(=C/C3=CC(=C(C=C3)Cl)Cl)/C1)CC4=CC=CC=C4,*N,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)CN(C(=O)[C@H](Cc2ccccc2)[NH2:1])C/C1=C\c1ccc(Cl)c(Cl)c1
357,[*]NC(=O)COC1=CC=CC(=C1)[C@@H](CCC2=CC(=C(C=C2)OC)OC)OC(=O)[C@@H]3CCCCN3C(=O)C(=O)C(C)(C)CC,*NC=O,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)[OH:1])c1
358,[*]C1=CC=C(C=C1)CN2C3=CC=CC=C3/C(=C\C=C\C4=CC=C(C=C4)[N+](=O)[O-])/C2=O,*c1ccccc1,O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc([Br:1])cc1
359,[*]N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,*N1CCCCC1,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCC[NH:1]C1
360,[*]C1=CC=C(C=C1)SCC2=CN(N=N2)C3=CC=CC(=C3)C(=O)NO,*c1ccccc1,O=C(NO)c1cccc(-n2cc(CSc3ccc([Br:1])cc3)nn2)c1
361,[*]OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C3=C(C=CC(=C3)C(=O)NC4CC4)C,*O,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)c2ccc([OH:1])cc2)cc1
362,[*]OC1=CC=C(C=C1)C2CCN(CC2)C3=NN4C(=NN=C4C(F)(F)F)CC3,*O,FC(F)(F)c1nnc2n1N=C(N1CCC(c3ccc([OH:1])cc3)CC1)CC2
363,[*]OC1=C(C=C(C=C1)Cl)C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])Cl,*O,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1[OH:1]
364,[*]NC1=C(C=C(C=N1)C(=O)NC2=CC=C(C=C2)OC(F)(F)Cl)C3=CC=NN3,*N,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc([NH2:1])c(-c2ccn[nH]2)c1
365,[*]C(=O)N1CC[C@H]2CC[C@H](N2C(=O)[C@H](C1)NC(=O)C3=CC4=C(N3)C=CC(=C4)CP(=O)(O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)NC(C5=CC=CC=C5)C6=CC=CC=C6,*C(=O)N1CCCN2CCCC2CC1,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)[OH:1])C[C@H](NC(=O)c3cc4cc(CP(=O)(O)O)ccc4[nH]3)C(=O)N21)C(=O)NC(c1ccccc1)c1ccccc1
366,[*]C(=O)NC1=CC=CC(=C1)NC2=NC=NC(=C2)C3=CNC4=CC=CC=C43,*C(N)=O,c1cc(Nc2cc(-c3c[nH]c4ccccc34)ncn2)cc([NH2:1])c1
367,[*]C(=O)C1=CC=C(C=C1)[C@H]2C3=C(C[C@@H](N2C(=O)CCl)C(=O)OC)C4=CC=CC=C4N3,*C,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)[C@H](c2ccc(C(=O)[Br:1])cc2)N1C(=O)CCl
368,[*]C1=CC(=CC=C1)CNC2=NC(=NC3=C(C=NN32)C(C)C)OC4CCN(CC4)C,*c1ccccc1,CC(C)c1cnn2c(NCc3cccc([Br:1])c3)nc(OC3CCN(C)CC3)nc12
369,[*]OCCN1C=C(C=N1)NC2=NC=C(C(=N2)NCC3=C(C=CC(=C3)F)F)Cl,*O,Fc1ccc(F)c(CNc2nc(Nc3cnn(CC[OH:1])c3)ncc2Cl)c1
370,[*]C1=CC(=CC=C1)CN2C(=C(C(=C2C)C3=CC=C(C=C3)C#N)C#N)C,*c1ccccc1,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cccc([Br:1])c1
371,[*]C(=O)/C(=N/NC1=NC(=CS1)C2=CC=C(C=C2)C3=CC=CC=C3)/CC4=CC=CC=C4[N+](=O)[O-],*C(C)=O,O=C(/C(Cc1ccccc1[N+](=O)[O-])=N/Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1)[OH:1]
372,[*]C1(CCN(CC1)C2=CC(=NN=C2N)C3=CC=CC=C3O)C4=CC=CC=C4,*C1CCNCC1,Nc1nnc(-c2ccccc2O)cc1N1CCC([Br:1])(c2ccccc2)CC1
373,[*]C1=C2C[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC(=CC1=O)C2=O)/C)OC)OC(=O)N)\C)C)O)OC)C,*C1=CCC=CC1=O,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C([OH:1])=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
374,[*]NCCCOC(=O)NC(C(Cl)(Cl)Cl)NC1=NC=CC=N1,*N,O=C(NC(Nc1ncccn1)C(Cl)(Cl)Cl)OCCC[NH2:1]
375,[*]O[C@@H]1[C@@]2([C@H]3C[C@H]([C@@]4([C@H]([C@@]3(CO1)[C@@H](C[C@H]2OC(=O)C)O)C(=O)[C@@H]([C@@]5([C@]46[C@@H](O6)C[C@H]5C7=COC=C7)C)OC(=O)C)C)O)C,*O,CC(=O)O[C@@H]1C[C@@H](O)[C@@]23CO[C@H]([OH:1])[C@]1(C)[C@H]2C[C@@H](O)[C@]1(C)[C@H]3C(=O)[C@H](OC(C)=O)[C@@]2(C)[C@H](c3ccoc3)C[C@@H]3O[C@]321
376,[*]N1CCN(CC1)C2=CC=C(C=C2)NC3=C4C(=NC(=N3)NC5CCC(CC5)N)N(C=N4)C6CCCC6,*N1CCNCC1,NC1CCC(Nc2nc(Nc3ccc(N4CC[NH:1]CC4)cc3)c3ncn(C4CCCC4)c3n2)CC1
377,[*]C(=O)NC1=NC2=C(S1)N=C(C=C2)C3=CC(=CC=C3)C(=O)NC4=CC(=C(C=C4)CN5CCN(CC5)CC)C(F)(F)F,*C(N)=O,CCN1CCN(Cc2ccc(NC(=O)c3cccc(-c4ccc5nc([NH2:1])sc5n4)c3)cc2C(F)(F)F)CC1
378,[*]C(=O)N1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=CC=CC=C4)OC,*C(=O)N1CCCCC1,COc1cc2c(Nc3ccccc3)ncnc2cc1OCC1CCN(C(=O)[OH:1])CC1
379,[*]N1C(=O)/C(=C/C2=CC=C(C=C2)C(C)C)/SC1=S,*N1CSCC1=O,CC(C)c1ccc(/C=C2\SC(=S)[NH:1]C2=O)cc1
380,[*]C1=CC=C(C=C1)N2C=C(C(=N2)C(=O)N)NC(=O)C3=COC(=N3)C4=CC(=NC=C4)NCC(F)(F)F,*c1ccccc1,NC(=O)c1nn(-c2ccc([Br:1])cc2)cc1NC(=O)c1coc(-c2ccnc(NCC(F)(F)F)c2)n1
381,[*]C1=CC=C(C=C1)N(CC(F)(F)F)S(=O)(=O)C2C[C@H]3C(=C([C@@H]2O3)C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,*c1ccccc1,O=S(=O)(C1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1)N(CC(F)(F)F)c1ccc([Br:1])cc1
382,[*]C1=CC=C(C=C1)/C=C/C(=O)C2=C(C3=CC=CC=C3C(=O)O2)O,*c1ccccc1,O=C(/C=C/c1ccc([Br:1])cc1)c1oc(=O)c2ccccc2c1O
