molecule_id,original_smiles,fragment_smiles,dealed_smiles
398,[*]C1=CC(=CC=C1)C2=NC3=C(C=C2)N=C(N3C4=CC=C(C=C4)CN)C5=C(N=CC=C5)N,*c1ccccc1,NCc1ccc(-n2c(-c3cccnc3N)nc3ccc(-c4cccc([Br:1])c4)nc32)cc1
399,[*]NCC1=CC=C(C=C1)C(=O)NC2=CC(=C(C=C2)C)NC3=NC=CC(=N3)C4=CN=CC=C4,*N,Cc1ccc(NC(=O)c2ccc(C[NH2:1])cc2)cc1Nc1nccc(-c2cccnc2)n1
400,[*]OC1=CC(=CC=C1)O[C@H]2C[C@H](N(C2)C(=O)[C@H](C3CCCCC3)NC(=O)[C@@H](C)NC)C(=O)N[C@@H]4CCCC5=CC=CC=C45,*O,CN[C@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](Oc2cccc([OH:1])c2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1
401,[*]N[C@H]1CC(=C[C@H]([C@@H]1NC(=O)C)OC(CC)CC)C(=O)OCC,*N,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H]([NH2:1])C1
402,[*]N1CCN(CC1)C2=CC(=CC3=C2N=C(N3CC4=CC(=C(C(=C4)C)F)C)N5CC6(C5)CNC6)Cl,*N1CCNCC1,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(N4CC[NH:1]CC4)cc(Cl)cc32)cc(C)c1F
403,[*]C1=CC(=CC=C1)C2=C(N(C(=C2C(=O)NC3=CC=CC=C3)C(C)C)CC[C@H](C[C@H](CC(=O)O)O)O)C4=CC=C(C=C4)F,*c1ccccc1,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2cccc([Br:1])c2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
404,[*]C(=O)CCN(C1=CC(=C(C=C1)Cl)F)C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)(C)C)NC(=O)C3=CC4=C(S3)C=CC(=C4)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1ccc(Cl)c(F)c1
405,[*]NC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=CC(=CC=C3)C(C)(C)O)C,*NC=O,Cn1cc(-c2cccc(C(C)(C)O)c2)c2cc(C(=O)[OH:1])[nH]c2c1=O
406,[*]C(=O)C1=CC=C(C=C1)N2CCC3(CC2)CCN(C3)C4=CC(=C(C=C4)C#N)Cl,*C,N#Cc1ccc(N2CCC3(CCN(c4ccc(C(=O)[Br:1])cc4)CC3)C2)cc1Cl
407,[*]C(=O)CCN(C1=CC=C(C=C1)Br)C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)(C)C)NC(=O)C3=CC4=C(S3)C=CC(=C4)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1ccc(Br)cc1
408,[*]OC(=O)/C(=C/C=C/[C@@]1([C@H]2CC[C@@]3([C@@]2(CCC(=CC3)C(=O)OC)OC(=O)C)C(=O)O1)C)/C,*O,COC(=O)C1=CC[C@@]23CC[C@H]([C@@](C)(/C=C/C=C(\C)C(=O)[OH:1])OC2=O)[C@@]3(OC(C)=O)CC1
409,[*]N1CCC(CC1)C2=CC=C(C=C2)NC3=NC(=CN=C3C(=O)N)N4CCC[C@H](C4)N5CCN(C5=O)C,*N1CCCCC1,CN1CCN([C@@H]2CCCN(c3cnc(C(N)=O)c(Nc4ccc(C5CC[NH:1]CC5)cc4)n3)C2)C1=O
410,[*]C1=CC=C(C=C1)NC2=NC=C3C=CC(=O)N(C3=N2)C4CC5CCC4C5,*c1ccccc1,O=c1ccc2cnc(Nc3ccc([Br:1])cc3)nc2n1C1CC2CCC1C2
411,[*]N1C=C(C=N1)NC2=NC=C(C(=N2)NCC3=C(C=CC(=C3)F)F)Cl,*n1cccn1,Fc1ccc(F)c(CNc2nc(Nc3cn[n:1]c3)ncc2Cl)c1
412,[*]N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4CN(C(=O)N(C4=N3)CC5=CC=C(C=C5)NC(=O)CC)C6=CC(=CC(=C6)OC)OC,*N1CCNCC1,CCC(=O)Nc1ccc(CN2C(=O)N(c3cc(OC)cc(OC)c3)Cc3cnc(Nc4ccc(N5CC[NH:1]CC5)cc4)nc32)cc1
413,[*]C(=O)C1=C(C2=C(S1)N3C(=NN=C3[C@@H](N=C2C4=CC=C(C=C4)Cl)CC(=O)OC)C)C,*C,COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C(=O)[Br:1])c2C)-n2c(C)nnc21
414,[*]C(=O)NC1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)F)N,*C(N)=O,Nc1cc(F)ccc1NC(=O)c1ccc([NH2:1])cc1
415,[*]C(=O)CCN(C1=CC2=CC=CC=C2C=C1)C(=O)[C@@H]3CCCN3C(=O)[C@H](C(C)(C)C)NC(=O)C4=CC5=C(S4)C=CC(=C5)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1ccc2ccccc2c1
416,[*]C1=CC=C(C=C1)NC(=O)COS(=O)(=O)C2=CC=C(C=C2)C,*c1ccccc1,Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc([Br:1])cc2)cc1
417,[*]N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NCC4=CC=CC=C4N(C)S(=O)(=O)C)C(F)(F)F,*N1CCNCC1,CN(c1ccccc1CNc1nc(Nc2ccc(N3CC[NH:1]CC3)cc2)ncc1C(F)(F)F)S(C)(=O)=O
418,[*]OC1=NC(=CC(=N1)N2CCOCC2)N/N=C/C3=CC=CC(=C3)C,*O,Cc1cccc(/C=N/Nc2cc(N3CCOCC3)nc([OH:1])n2)c1
419,[*]NC(=O)CCC1=CC2=C(C=C1)N=C(S2)NC(=O)CCC3=CC(=C(C=C3)OC)OC,*NC=O,COc1ccc(CCC(=O)Nc2nc3ccc(CCC(=O)[OH:1])cc3s2)cc1OC
420,[*]NC(=O)C1CCN(CC1)C(=O)CCC(=O)N(CC(C)(C)C)C2=C(C=C(C=C2)Cl)C(C3=CC=CC=C3Cl)O,*NC=O,CC(C)(C)CN(C(=O)CCC(=O)N1CCC(C(=O)[OH:1])CC1)c1ccc(Cl)cc1C(O)c1ccccc1Cl
421,[*]C(=O)CC[C@@H](C(=O)O)NC(=O)C1=CC=C(C=C1)N(C)CC2=CN=C3C(=N2)C(=NC(=N3)N)N,*C(C)=O,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[OH:1])C(=O)O)cc1
422,[*]N1CCC(CC1)OC2=NC3=C(C=NN3C(=N2)NCC4=CC=CC=C4N(C)C)C(C)C,*N1CCCCC1,CC(C)c1cnn2c(NCc3ccccc3N(C)C)nc(OC3CC[NH:1]CC3)nc12
423,[*]C1=CC=C(C=C1)N2CCC3(CC2)C[C@H](N(C3)C4=CC(=C(C=C4)C#N)Cl)C,*c1ccccc1,C[C@@H]1CC2(CCN(c3ccc([Br:1])cc3)CC2)CN1c1ccc(C#N)c(Cl)c1
424,[*]N1[C@@H](CN(C[C@@H]1C)C2=CC=C(C=C2)C(=O)NC3=NNC(=C3)CCC4=CC(=CC(=C4)OC)OC)C,*N1CCNCC1,COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@@H](C)[NH:1][C@@H](C)C4)cc3)n[nH]2)cc(OC)c1
425,[*]N1CCN(CC1)CCCNC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=C(CCC(C5)(C)C)C6=CC=C(C=C6)Cl)S(=O)(=O)C(F)(F)F,*N1CCNCC1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCN5CC[NH:1]CC5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
426,[*]C(=O)CNC1=NC=NC2=C1C(=CN2)C(=O)C3=C(C=C(C=C3)OC4=CC=CC=C4)Cl,*C(C)=O,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(NCC(=O)[OH:1])c12
427,[*]C1=C(C(=C(C=C1)C2=C(N=C(C(=N2)CO)N3CCC4(CC3)CO[C@H]([C@H]4N)C)C)Cl)Cl,*c1ccccc1,Cc1nc(N2CCC3(CC2)CO[C@@H](C)[C@H]3N)c(CO)nc1-c1ccc([Br:1])c(Cl)c1Cl
428,[*]C1=CC=C(C=C1)C2=CN(C3=NC(=NC=C23)NCCCC)[C@H]4CC[C@@H](CC4)O,*c1ccccc1,CCCCNc1ncc2c(-c3ccc([Br:1])cc3)cn([C@H]3CC[C@H](O)CC3)c2n1
429,[*]C(=O)N1CC[C@H]2CC[C@H](N2C(=O)[C@H](C1)NC(=O)C3=CC4=C(N3)C=CC(=C4)C(F)(F)P(=O)(O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)NC,*C(=O)N1CCCN2CCCC2CC1,CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)[OH:1])C[C@H](NC(=O)c3cc4cc(C(F)(F)P(=O)(O)O)ccc4[nH]3)C(=O)N21
430,[*]C(=O)N1CCN2[C@H](C1)COCCOC3=CC(=CC4=C3N(C(=O)CC4)C)NC5=NC2=NC=C5Cl,*C(=O)N1CCNCC1,CN1C(=O)CCc2cc3cc(c21)OCCOC[C@H]1CN(C(=O)[OH:1])CCN1c1ncc(Cl)c(n1)N3
431,[*]S(=O)(=O)C[C@H](C(C)(C)C)N1[C@@H]([C@H](C[C@](C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,*[SH](=O)=O,CC(C)(C)[C@@H](CS(=O)(=O)[OH:1])N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
432,[*]C1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4P(=O)(C)C)Cl)OC,*C1CCNCC1,COc1cc(N2CCC([Br:1])CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
433,[*]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C3)C(=NC(=N4)NC5=CC=C(C=C5)F)N6CCC(CC6)CO,*N1CCNCC1,OCC1CCN(c2nc(Nc3ccc(F)cc3)nc3cnc(Nc4ccc(N5CC[NH:1]CC5)cn4)cc23)CC1
434,[*]/C=C(\C#N)/C(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,*C,N#CC(=C[Br:1])C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
435,[*]C(=O)CC[C@@H](C(=O)NC1=CC=CC(=C1)NC2=NC=C(C=N2)NC(=O)C3=C(C=CC(=C3)NC(=O)C4=CC(=CC=C4)C(F)(F)F)C)NC(=O)C=C,*C(C)=O,C=CC(=O)N[C@@H](CCC(=O)[OH:1])C(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1
436,[*]C1=CC(=C(C=C1)C2=CC(=C(C=C2)F)C)N3CCC(CC3)C4=C(N=CN4)C,*c1ccccc1,Cc1cc(-c2ccc([Br:1])cc2N2CCC(c3[nH]cnc3C)CC2)ccc1F
437,[*]N1CCC2(CC1)C[C@@H](N(C2)C3=CC(=C(C=C3)C#N)Cl)C,*N1CCC2(CCNC2)CC1,C[C@H]1CC2(CC[NH:1]CC2)CN1c1ccc(C#N)c(Cl)c1
438,[*]C(=O)N(CC1=CC(=C(C(=C1)F)F)F)C(C2CCCCC2)C(=O)NC(C)(C)C,*C(N)=O,CC(C)(C)NC(=O)C(C1CCCCC1)[NH:1]Cc1cc(F)c(F)c(F)c1
439,[*]C1=CC(=CN=C1)NC2=NC=C(C(=N2)C3=CC=CC(=C3)C4=CC=CC=C4)Cl,*c1cccnc1,Clc1cnc(Nc2cncc([Br:1])c2)nc1-c1cccc(-c2ccccc2)c1
440,[*]N1CCN(CC1)C2=CC3=C(C=C2)NC(=N3)C4=C(C5=C(C=CC=C5F)NC4=O)N,*N1CCNCC1,Nc1c(-c2nc3cc(N4CC[NH:1]CC4)ccc3[nH]2)c(=O)[nH]c2cccc(F)c12
441,[*]NC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4CC4)C,*NC=O,Cn1cc(-c2cc(C(C)(C)O)ccc2OC2CC2)c2cc(C(=O)[OH:1])[nH]c2c1=O
442,[*]C(=O)CNC1=C(C=CC(=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)OC,*C(C)=O,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)[OH:1])c2)c(OC)c1
443,[*]C1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(=C(S4)C)C)C)CC5=NC=CS5,*c1ccccc1,Cc1sc2c(c1C)C(c1ccc([Br:1])cc1)=N[C@@H](Cc1nccs1)c1nnc(C)n1-2
444,[*]N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,*N1CCNCC1,CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CC[NH:1]CC3)cc2)ncc1Cl
445,[*]C1=CC=C(C=C1)C(=O)N2CCC3(CC2)CCN(C3)C4=CC(=C(C=C4)C#N)Cl,*c1ccccc1,N#Cc1ccc(N2CCC3(CCN(C(=O)c4ccc([Br:1])cc4)CC3)C2)cc1Cl
446,[*]NC(=O)C1=CC(=C(C=C1F)NC2=NC=C(C(=N2)NCC)C(F)(F)F)OC,*NC=O,CCNc1nc(Nc2cc(F)c(C(=O)[OH:1])cc2OC)ncc1C(F)(F)F
447,[*]NS(=O)(=O)C1=CC=C(C=C1)NC2=NC=C(C(=N2)NC3=C(C(=CC=C3)F)C(=O)N)Br,*N,NC(=O)c1c(F)cccc1Nc1nc(Nc2ccc(S(=O)(=O)[NH2:1])cc2)ncc1Br
448,[*]NC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=CC=CC=C3OC4=CC=CC=C4)C,*NC=O,Cn1cc(-c2ccccc2Oc2ccccc2)c2cc(C(=O)[OH:1])[nH]c2c1=O
449,[*]N1CCN(CC1)C2=CN=C(C=C2)NC3=CC(=CN(C3=O)C)C4=C(C(=NC=C4)N5CCN6C7=C(CC(C7)(C)C)C=C6C5=O)CO,*N1CCNCC1,Cn1cc(-c2ccnc(N3CCn4c(cc5c4CC(C)(C)C5)C3=O)c2CO)cc(Nc2ccc(N3CC[NH:1]CC3)cn2)c1=O
450,[*]C(=O)C1=CC=C(C=C1)S(=O)(=O)C,*C,CS(=O)(=O)c1ccc(C(=O)[Br:1])cc1
451,[*]NS(=O)(=O)C1=CC=C(C=C1)NC2=NN(C(=N2)N)C(=O)C3=C(C=CC=C3F)F,*N,Nc1nc(Nc2ccc(S(=O)(=O)[NH2:1])cc2)nn1C(=O)c1c(F)cccc1F
452,[*]C(=O)C1=C(C=C(C=C1)C2=CN(C(=O)C(=C2)C)C)OC(C)C,*C,Cc1cc(-c2ccc(C(=O)[Br:1])c(OC(C)C)c2)cn(C)c1=O
453,[*]N1CCN(CC1)C(=O)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC)Cl)OC,*N,CNc1nc(Nc2ccc(C(=O)N3CC[NH:1]CC3)cc2OC)ncc1Cl
454,[*]N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4P(=O)(C)C)Cl)OC,*N1CCNCC1,COc1cc(N2CC[NH:1]CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
455,[*]C1=CC=C(C=C1)C2=CSC(=N2)N3CC4(C3)CCOCC4,*c1ccccc1,[Br:1]c1ccc(-c2csc(N3CC4(CCOCC4)C3)n2)cc1
456,[*]C(=O)N(CC1=CC(=C(C(=C1)F)F)F)C(C2=CC=C(C=C2)Cl)C(=O)NC(C)(C)C,*C(N)=O,CC(C)(C)NC(=O)C(c1ccc(Cl)cc1)[NH:1]Cc1cc(F)c(F)c(F)c1
457,[*]/C=C/C(=O)N1CCN(CC1)C(=O)C2=C(C=C(C(=C2)C3=C(C=CC(=C3)Cl)Cl)Cl)OC,*C,COc1cc(Cl)c(-c2cc(Cl)ccc2Cl)cc1C(=O)N1CCN(C(=O)C=C[Br:1])CC1
458,[*]NC(=O)C1=NC=C2C3=CC(=C(C=C3NC2=N1)C4=C(ON=C4C)C)OC,*NC=O,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C(=O)[OH:1])ncc12
459,[*]S(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=[N+](C3=C2N=C(NC3=O)N)CC4=CC=C(C=C4)F)O)O,*[SH](=O)=O,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccc(F)cc1)cn2[C@@H]1O[C@H](COS(=O)(=O)[OH:1])[C@@H](O)[C@H]1O
460,[*]C1=CC=C(C=C1)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NS(=O)(=O)C4=CC=C(C=C4)C,*c1ccccc1,Cc1ccc(S(=O)(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccc([Br:1])cc2)cc1
461,[*]NC1=NC(=C(C=C1)[N+](=O)[O-])NC2=CC3=C(C=C2)NN=C3,*N,O=[N+]([O-])c1ccc([NH2:1])nc1Nc1ccc2[nH]ncc2c1
462,[*]C1=CN=C(C=C1)[C@@H]2C3=C(C[C@H](N2CC(F)(F)F)C)C4=C(C=C3)NN=C4,*c1cccnc1,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc([Br:1])cn2)N1CC(F)(F)F
463,[*]C(=O)N(CC)C(C1=CC=C(C=C1)Cl)C(=O)NC(C)(C)C,*C(N)=O,CC[NH:1]C(C(=O)NC(C)(C)C)c1ccc(Cl)cc1
464,[*]C1=CC=C(C=C1)CCC2=C(N(N=C2C)C3=CC(=C(C=C3)C#N)Cl)C,*c1ccccc1,Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1CCc1ccc([Br:1])cc1
465,[*]C(=O)CCN(C1=CC=C(C=C1)I)C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)(C)C)NC(=O)C3=CC4=C(S3)C=CC(=C4)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1ccc(I)cc1
466,[*]C1=CC=C(C=C1)C(=O)N2CCC(CC2)CCCCNC(=O)/C=C/C3=CN=CC=C3,*c1ccccc1,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccc([Br:1])cc2)CC1
467,[*]=C1CCC(C(=C1C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)(C)C,*=C1C=CCCC1,
468,[*]C(=O)N1CC[C@H]2CC[C@H](N2C(=O)[C@H](C1)NC(=O)C3=CC4=C(N3)C=CC(=C4)C(F)(F)P(=O)(O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)NCC5=CC=CC=C5,*C(=O)N1CCCN2CCCC2CC1,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)[OH:1])C[C@H](NC(=O)c3cc4cc(C(F)(F)P(=O)(O)O)ccc4[nH]3)C(=O)N21)C(=O)NCc1ccccc1
469,[*]C(=O)N(CC1=CC=C(C=C1)Cl)C(C2=C(NC3=C2C=CC(=C3)Cl)C(=O)OCC)C(=O)NC(C)(C)C,*C(N)=O,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)[NH:1]Cc1ccc(Cl)cc1
470,[*]OC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,*O,O=C(NO)c1ccc2ccn(Cc3ccc([OH:1])cc3)c2c1
471,[*]N(CCOC1=CC=C(C=C1)C(=O)C2=C(SC3=C2C=CC(=C3)O)C4=CC=C(C=C4)O)C5CCCCC5,*N,O=C(c1ccc(OCC[NH:1]C2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
472,[*]N[C@H]1CC[C@@H](CC1)NC2=NC=C(C(=C2)C3=NC(=CC=C3)NCC4(CCOCC4)C#N)Cl,*N,N#CC1(CNc2cccc(-c3cc(N[C@H]4CC[C@H]([NH2:1])CC4)ncc3Cl)n2)CCOCC1
473,[*]OCCNC(=O)C1=CC=C(C=C1)C2=NC(=CS2)CNC3=NC=CC(=N3)NCC(C)C,*O,CC(C)CNc1ccnc(NCc2csc(-c3ccc(C(=O)NCC[OH:1])cc3)n2)n1
474,[*]N1CCC(CC1)NC(=O)C2=NNC=C2NC(=O)C3=C(C=CC=C3Cl)Cl,*N1CCCCC1,O=C(NC1CC[NH:1]CC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl
475,[*]N(CC)CCOC1=CC=C(C=C1)C(=O)C2=C(SC3=C2C=CC(=C3)O)C4=CC=C(C=C4)O,*N,CC[NH:1]CCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1
476,[*]OC1=C(C=C2C(=C1)N=C(N=C2N[C@H](C)C3=CC=CC=C3)C)OC,*O,COc1cc2c(N[C@H](C)c3ccccc3)nc(C)nc2cc1[OH:1]
477,[*]C1=C(C=C(C=C1OC)C2=CN(C(=O)C3=C2C=CN=C3)C)OC,*c1ccccc1,COc1cc(-c2cn(C)c(=O)c3cnccc23)cc(OC)c1[Br:1]
478,[*]N1CCN(CC1)CC2=CC3=C(CN(C3)C(=O)C4=CC(=C(C=C4)O)C(C)C)C=C2,*N1CCNCC1,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CC[NH:1]CC4)cc3C2)ccc1O
479,[*]OC(=O)[C@]12CC[C@H]([C@@H]([C@H]1C3=CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C)C,*O,C[C@H]1[C@H](C)CC[C@]2(C(=O)[OH:1])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12
480,[*]N[C@H]1CCC(=O)NCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC2=CN=CN2CCCCCCCCC3=CC=CC=C3)[C@@H](C)OP(=O)(O)O)C(=O)N,*N,C[C@@H](OP(=O)(O)O)[C@@H]1NC(=O)[C@H](Cc2cncn2CCCCCCCCc2ccccc2)NC(=O)[C@@H]([NH2:1])CCC(=O)NCCCC[C@@H](C(N)=O)NC1=O
481,[*]C(=O)CCN(C1=CC=CC(=C1)C(F)(F)F)C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)(C)C)NC(=O)C3=CC4=C(S3)C=CC(=C4)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1cccc(C(F)(F)F)c1
482,[*]N(CCOC1=CC=C(C=C1)C(=O)C2=C(SC3=C2C=CC(=C3)O)C4=CC=C(C=C4)O)C5CC5,*N,O=C(c1ccc(OCC[NH:1]C2CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
483,[*]C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,*c1nccs1,Nc1nccc(-c2sc([Br:1])nc2-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)n1
484,[*]OC(=O)[C@@H]1C[C@@H](CN1C(=O)CC)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,*O,CCC(=O)N1C[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C[C@H]1C(=O)[OH:1]
485,[*]C(=O)CCN(C1=CC2=C(C=C1)OC=C2)C(=O)[C@@H]3CCCN3C(=O)[C@H](C(C)(C)C)NC(=O)C4=CC5=C(S4)C=CC(=C5)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1ccc2occc2c1
486,[*]NC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=CC=CC=C4)C,*NC=O,Cn1cc(-c2cc(C(C)(C)O)ccc2Oc2ccccc2)c2cc(C(=O)[OH:1])[nH]c2c1=O
487,[*]OC1=CC=C(C=C1)NC2=NC=CC(=N2)NC3=CC4=CC=CC=C4N=C3,*O,c1ccc2ncc(Nc3ccnc(Nc4ccc([OH:1])cc4)n3)cc2c1
488,[*]C(=O)C1=CC=C(C=C1)N2CCC3(CC2)C[C@H](N(C3)C4=CC(=C(C=C4)C#N)Cl)C,*C,C[C@@H]1CC2(CCN(c3ccc(C(=O)[Br:1])cc3)CC2)CN1c1ccc(C#N)c(Cl)c1
489,[*]NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)N[C@H](CO)C3=CC(=CC=C3)Cl)Cl,*N,O=C(N[C@H](CO)c1cccc(Cl)c1)c1cc(-c2cc([NH2:1])ncc2Cl)c[nH]1
490,[*]N1CCC[C@H]1COC2=NC3=C(C(=NC=C3C(=N2)N4C[C@H]5CC[C@@H](C4)N5)C6=C7C(=CC(=C6)O)C=CC(=C7C#C)F)F,*N1CCCC1,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@H]5CCC[NH:1]5)nc4c3F)c12
491,[*]OC1=CC=C(C=C1)/C(=C(\CC)/C2=CC=CC=C2)/C3=CC=CC=C3,*O,CC/C(=C(/c1ccccc1)c1ccc([OH:1])cc1)c1ccccc1
492,[*]C1=CC=C(C=C1)C(=O)N[C@H]2CC[C@@H](C2)OC3=CC(=C(C=C3)C#N)Cl,*c1ccccc1,N#Cc1ccc(O[C@H]2CC[C@H](NC(=O)c3ccc([Br:1])cc3)C2)cc1Cl
493,[*]C1=CN=C(C=C1)NC(=O)C2=CC=C(C=C2)CN(C3CC3)C(=O)C4=CC5=C(C=C4)NC(=O)CO5,*c1cccnc1,O=C1COc2cc(C(=O)N(Cc3ccc(C(=O)Nc4ccc([Br:1])cn4)cc3)C3CC3)ccc2N1
494,[*]OC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,*O,O=c1cc(-c2ccccc2)oc2c([OH:1])c(O)cc(O)c12
