protac,warhead,linker_id,e3_ligand
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOC3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3)C(C)(C)C)C=C2)SC=N1,[R1]C1=CC=C(C=C1)N2C(=S)N(C(=O)C2(C)C)C3=CC(=C(C=C3)C#N)C(F)(F)F,138,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOC3=CC=C(NC4=NC=C(C(F)(F)F)C(NCC5=CC=CC(N(C)S(C)(=O)=O)=C5)=N4)C=C3)C(C)(C)C)C=C2)SC=N1,[R1]OC1=CC=C(C=C1)NC2=NC=C(C(=N2)NCC3=CC(=CC=C3)N(C)S(=O)(=O)C)C(F)(F)F,89,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CN(C1=CC=CC(CNC2=NC(NC3=CC=C(OCCCOCCC(=O)NCCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)C=C3)=NC=C2C(F)(F)F)=C1)S(C)(=O)=O,[R1]OC1=CC=C(C=C1)NC2=NC=C(C(=N2)NCC3=CC(=CC=C3)N(C)S(=O)(=O)C)C(F)(F)F,146,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C1CCC(N2C(=O)C3=CC=CC(OCCOCCOCCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3C2=O)C(=O)N1,[R1]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,166,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C1CCC(N2C(=O)C3=CC=CC(OCCCCCOC4=CC=C(CC(=O)NC5=N[NH]C(C6CCC6)=C5)C=C4)=C3C2=O)C(=O)N1,[R1]OC1=CC=C(C=C1)CC(=O)NC2=NNC(=C2)C3CCC3,168,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)CCCCCN4CCN(C5=NC(N6CCOCC6)=NC(N6C(C(F)F)=NC7=CC=CC=C76)=N5)CC4)=C3C2=O)C(=O)N1,[R1]N1CCN(CC1)C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5,85,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C(CCC(=O)N1CCN(C2=NC(N3CCOCC3)=NC(N3C(C(F)F)=NC4=CC=CC=C43)=N2)CC1)NCCCCCC(=O)NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,[R1]N1CCN(CC1)C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5,171,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)CCCCCN4C=C(CN5CCN(C6=NC(N7CCOCC7)=NC(N7C(C(F)F)=NC8=CC=CC=C87)=N6)CC5)N=N4)=C3C2=O)C(=O)N1,[R1]N1CCN(CC1)C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5,159,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,[R1]C(=O)C[C@H]1C2=NN=C(N2C3=C(C(=C(S3)C)C)C(=N1)C4=CC=C(C=C4)Cl)C,189,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)COCCOCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,[R1]C(=O)C[C@H]1C2=NN=C(N2C3=C(C(=C(S3)C)C)C(=N1)C4=CC=C(C=C4)Cl)C,114,[R2]C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H](C(=O)N2C[C@@H](C[C@H]2C(=O)NCC3=CC=C(C=C3)C4=C(N=CS4)C)O)C(C)(C)C
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCOC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)N=C2C1=CC=C(Cl)C=C1,[R1]C(=O)C[C@H]1C2=NN=C(N2C3=C(C(=C(S3)C)C)C(=N1)C4=CC=C(C=C4)Cl)C,194,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
C#CC1=CC=C([C@H](CC(=O)N2CCC(N3CCC(C#CC4=CC=C(C(=O)N[C@H]5C(C)(C)[C@H](OC6=CC=C(C#N)C(Cl)=C6)C5(C)C)C=C4)CC3)CC2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](C2=CC(C)=NO2)C(C)C)C=C1,[R1]C1=CC=C(C=C1)C(=O)N[C@H]2C([C@@H](C2(C)C)OC3=CC(=C(C=C3)C#N)Cl)(C)C,48,[R2]C(=O)C[C@@H](C1=CC=C(C=C1)C#C)NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@@H](C3=CC(=NO3)C)C(C)C)O
CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CC(=O)N1CCC(N2CCC(C#CC3=CC=C(C(=O)N[C@H]4C(C)(C)[C@H](OC5=CC=C(C#N)C(Cl)=C5)C4(C)C)C=C3)CC2)CC1)C1=CC=CC=C1)C(C)C,[R1]C1=CC=C(C=C1)C(=O)N[C@H]2C([C@@H](C2(C)C)OC3=CC(=C(C=C3)C#N)Cl)(C)C,48,[R2]C(=O)C[C@@H](C1=CC=CC=C1)NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](C(C)C)NC(=O)C)O
CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)N2CCC(C#CC3=CC=C(C(=O)N[C@H]4C(C)(C)[C@H](OC5=CC=C(C#N)C(Cl)=C5)C4(C)C)C=C3)CC2)C2=CC=C(Br)C=C2)C(C)C)=C1,[R1]C1=CC=C(C=C1)C(=O)N[C@H]2C([C@@H](C2(C)C)OC3=CC(=C(C=C3)C#N)Cl)(C)C,199,[R2]C(=O)C[C@@H](C1=CC=C(C=C1)Br)NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@@H](C3=CC(=NO3)C)C(C)C)O
C#CC1=CC=C([C@H](CC(=O)N2CCC(C#CC3=CC=C(C(=O)N[C@H]4C(C)(C)[C@H](OC5=CC=C(C#N)C(Cl)=C5)C4(C)C)C=C3)CC2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](C2=CC(C)=NO2)C(C)C)C=C1,[R1]C1=CC=C(C=C1)C(=O)N[C@H]2C([C@@H](C2(C)C)OC3=CC(=C(C=C3)C#N)Cl)(C)C,199,[R2]C(=O)C[C@@H](C1=CC=C(C=C1)C#C)NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@@H](C3=CC(=NO3)C)C(C)C)O
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CC5=CN(CCOCCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)N=N5)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,207,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CC5=CN(CCOCCNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)N=N5)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,211,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CC(=O)NCCCCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,212,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,11,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CC1=CC=C(NC(=O)C2=CC=C(CN3CCN(CCCCCCOCCOCCOCCCCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC4=CC=C(C5=C(C)N=CS5)C=C4)C(C)(C)C)CC3)C=C2)C=C1NC1=NC=CC(C2=CC=CN=C2)=N1,[R1]N1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,182,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CC5=CN(CCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC6=CC=CC=C6)N=N5)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,231,[R2]C(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](CC1=CC=CC=C1)N)O
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)COC3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1,[R1]C1=CC=C(C=C1)S(=O)(=O)NC2=C(N(C(=O)C(=C2)C)C)NC3=C(C=C(C=C3)I)F,236,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1,[R1]C1=CC=C(C=C1)S(=O)(=O)NC2=C(N(C(=O)C(=C2)C)C)NC3=C(C=C(C=C3)I)F,238,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC1=CC(NS(=O)(=O)C2=CC=C(CCC(=O)NCCOCCOCCOCCOCC(=O)NC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O,[R1]C1=CC=C(C=C1)S(=O)(=O)NC2=C(N(C(=O)C(=C2)C)C)NC3=C(C=C(C=C3)I)F,251,[R2]NC1=CC=CC2=C1CN(C2=O)C3CCC(=O)NC3=O
CC1=CC(NS(=O)(=O)C2=CC=C(OCC(=O)NCCOCCOCCOCCOCCOCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O,[R1]C1=CC=C(C=C1)S(=O)(=O)NC2=C(N(C(=O)C(=C2)C)C)NC3=C(C=C(C=C3)I)F,262,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C(CCCCCNC(=O)CCCCC(=O)NCCN1C(=O)C2=CC=CC3=C(SC4=CC=C(Br)C=C4)C=CC(=C23)C1=O)NCCCCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,[R1]C(=O)CCCCC(=O)NCCN1C(=O)C2=C3C(=C(C=C2)SC4=CC=C(C=C4)Br)C=CC=C3C1=O,288,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C(CCCCC(=O)NCCN1C(=O)C2=CC=CC3=C(SC4=CC=C(Br)C=C4)C=CC(=C23)C1=O)NCCCCCCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,[R1]C(=O)CCCCC(=O)NCCN1C(=O)C2=C3C(=C(C=C2)SC4=CC=C(C=C4)Br)C=CC=C3C1=O,115,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
N#CC1=C(NCCC(=O)NCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C2=C3C(=CC=CC3=C(SC3=CC=C(Br)C=C3)C=C2)C1=O,[R1]C(=O)CCNC1=C(C(=O)C2=CC=CC3=C(C=CC1=C32)SC4=CC=C(C=C4)Br)C#N,193,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CCOC1=CC(C(C)(C)C)=CC=C1C1=NC(C2=CC=C(Cl)C=C2)C(C2=CC=C(Cl)C=C2)N1C(=O)N1CCN(C(=O)CCC#CC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)CC1,[R1]N1CCN(CC1)C(=O)N2C(C(N=C2C3=C(C=C(C=C3)C(C)(C)C)OCC)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,291,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O
CCOC1=CC(C(C)(C)C)=CC=C1C1=N[C@@H](C2=CC=C(Cl)C=C2)[C@@H](C2=CC=C(Cl)C=C2)N1C(=O)N1CCN(CC#CC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)CC1,[R1]N1CCN(CC1)C(=O)N2[C@@H]([C@@H](N=C2C3=C(C=C(C=C3)C(C)(C)C)OCC)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,297,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O
CCOC1=CC(C(C)(C)C)=CC=C1C1=N[C@@H](C2=CC=C(Cl)C=C2)[C@@H](C2=CC=C(Cl)C=C2)N1C(=O)N1CCN(CCC#CC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)CC1,[R1]N1CCN(CC1)C(=O)N2[C@@H]([C@@H](N=C2C3=C(C=C(C=C3)C(C)(C)C)OCC)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,29,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O
CCOC1=CC(C(C)(C)C)=CC=C1C1=N[C@@H](C2=CC=C(Cl)C=C2)[C@@H](C2=CC=C(Cl)C=C2)N1C(=O)N1CCN(CCCC#CC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)CC1,[R1]N1CCN(CC1)C(=O)N2[C@@H]([C@@H](N=C2C3=C(C=C(C=C3)C(C)(C)C)OCC)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,28,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O
O=C(CN1CCN(C2=CC=C(NC3=CC4=C(N5CCC(CO)CC5)N=C(NC5=CC=C(F)C=C5)N=C4C=N3)N=C2)CC1)NCCC(=O)NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C3)C(=NC(=N4)NC5=CC=C(C=C5)F)N6CCC(CC6)CO,300,[R2]NC1=CC=CC2=C1CN(C2=O)C3CCC(=O)NC3=O
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCN3CCN(C4=CC=C(NC5=CC6=C(N7CCC(CO)CC7)N=C(NC7=CC=C(F)C=C7)N=C6C=N5)N=C4)CC3)C(C)(C)C)C=C2)SC=N1,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C3)C(=NC(=N4)NC5=CC=C(C=C5)F)N6CCC(CC6)CO,26,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
C=CC(=O)NC1=CC=CC(N2C(=O)C=C(C)C3=CN=C(NC4=CC=C(N5CCN(C(=O)CCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC6=CC=C(C7=C(C)N=CS7)C=C6)C(C)(C)C)CC5)C=C4OC)N=C32)=C1,[R1]N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=CC(=O)N(C4=N3)C5=CC=CC(=C5)NC(=O)C=C)C)OC,272,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
C=CC(=O)NC1=CC=CC(N2C(=O)C=C(C)C3=CN=C(NC4=CC=C(N5CCN(C(=O)CCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC6=CC=C(C7=C(C)N=CS7)C=C6)C(C)(C)C)CC5)C=C4OC)N=C32)=C1,[R1]N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=CC(=O)N(C4=N3)C5=CC=CC(=C5)NC(=O)C=C)C)OC,20,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
C=CC(=O)NC1=CC=CC(N2C(=O)C=C(C)C3=CN=C(NC4=CC=C(N5CCN(CCCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC6=CC=C(C7=C(C)N=CS7)C=C6)C(C)(C)C)CC5)C=C4OC)N=C32)=C1,[R1]N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=CC(=O)N(C4=N3)C5=CC=CC(=C5)NC(=O)C=C)C)OC,33,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
COC1=CC=C(OC)C2=C1C(OC)=CC1=C2OC(C2=CC=C(C3=CN(CCCCCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=CC1=O,[R1]C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=C(C=CC(=C4C(=C3)OC)OC)OC,331,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
COC1=CC=C(OC)C2=C1C(OC)=CC1=C2OC(C2=CC=C(C3=CN(CCCCCCCCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=CC1=O,[R1]C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=C(C=CC(=C4C(=C3)OC)OC)OC,333,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(C5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCOCCOCCOCCNC(=O)C4=CC=C(CN(CC5CCNCC5)S(=O)(=O)C5=CC=C(S(=O)(=O)N(CC6=CC=C(Cl)C=C6)C6CCCC6)C=C5)C=C4)=C3C2=O)C(=O)N1,[R1]C1=CC=C(C=C1)CN(CC2CCNCC2)S(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N(CC4=CC=C(C=C4)Cl)C5CCCC5,346,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CCCCN(CC1=CC=C(C(=O)NO)C=C1)C(=O)NC1=CC=C(NC(=O)CCCC2=CN(CCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)C=C1,[R1]C1=CC=C(C=C1)NC(=O)N(CCCC)CC2=CC=C(C=C2)C(=O)NO,350,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CCCCN(CC1=CC=C(C(=O)NO)C=C1)C(=O)NC1=CC=C(NC(=O)CCCC2=CN(CCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)C=C1,[R1]C1=CC=C(C=C1)NC(=O)N(CCCC)CC2=CC=C(C=C2)C(=O)NO,351,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
CCCCN(CC1=CC=C(C(=O)NO)C=C1)C(=O)NC1=CC=C(NC(=O)CCCC2=CN(CCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)C=C1,[R1]C1=CC=C(C=C1)NC(=O)N(CCCC)CC2=CC=C(C=C2)C(=O)NO,352,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O
NC1=CC=CC=C1NC(=O)C1=CC=C(NC(=O)CCCCCCCCCCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1,[R1]C(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N,354,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCC(=O)NC3=CC=C(C(=O)NC4=CC=CC=C4N)C=C3)C(C)(C)C)C=C2)SC=N1,[R1]C(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N,23,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CCCCCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,27,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CC(=O)NCCOCCOCCOCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CC4)C=N3)N=C2N(C2CCCC2)C1=O,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,122,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)CCOCCOCCOCCNC(=O)CN2CCN(C3=CC=C(NC4=NC=C5C(C)=C(C(C)=O)C(=O)N(C6CCCC6)C5=N4)N=C3)CC2)C[C@H]1C(=O)NC1=C(F)C=CC=C1F)C(C)(C)C,[R1]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C(=C(C(=O)N(C4=N3)C5CCCC5)C(=O)C)C,363,[R2]N[C@H]1C[C@H](N(C1)C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C)NC)C(=O)NC2=C(C=CC=C2F)F
CN1C=C(NC2=NC=C(Cl)C(NCC3=CC(F)=CC(OCCCCCCCCCC(=O)NC4=CC=CC5=C4CN(C4CCC(=O)NC4=O)C5=O)=C3F)=N2)C=N1,[R1]C1=CC(=CC(=C1F)CNC2=NC(=NC=C2Cl)NC3=CN(N=C3)C)F,368,[R2]NC1=CC=CC2=C1CN(C2=O)C3CCC(=O)NC3=O
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOC3=CC(F)=CC(CNC4=NC(NC5=CN(C)N=C5)=NC=C4Cl)=C3F)C(C)(C)C)C=C2)SC=N1,[R1]C1=CC(=CC(=C1F)CNC2=NC(=NC=C2Cl)NC3=CN(N=C3)C)F,371,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
COC1=CC(C2=CN=C3C=CC=C(C4=CC(F)=C(CN5CCS(=O)(=O)CC5)C(F)=C4)C3=N2)=CC=C1OCCCN1CCN(CCOCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,[R1]N1CCN(CC1)CCCOC2=C(C=C(C=C2)C3=NC4=C(C=CC=C4N=C3)C5=CC(=C(C(=C5)F)CN6CCS(=O)(=O)CC6)F)OC,375,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCOCCOCCNC(=O)COC1=CC=C3C(=C1)CCCN3C(=O)CCl)N=C2C1=CC=C(Cl)C=C1,[R1]C(=O)C[C@H]1C2=NN=C(N2C3=C(C(=C(S3)C)C)C(=N1)C4=CC=C(C=C4)Cl)C,392,[R2]OC1=CC2=C(C=C1)N(CCC2)C(=O)CCl
